scope	rust_path	rust_text	upstream_path	upstream_text	notes
cardano-cli-hash-command	crates/tools/cardano-cli/src/era_independent/hash/command.rs	GenesisFile	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Hash/Command.hs	GenesisFile	Genesis-file path wrapper carried through the hash command.
cardano-cli-hash-command	crates/tools/cardano-cli/src/era_independent/hash/command.rs	HashCmds	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Hash/Command.hs	HashCmds	Top-level hash command enum/type name.
cardano-cli-hash-command	crates/tools/cardano-cli/src/era_independent/hash/command.rs	HashGenesisFile	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Hash/Command.hs	HashGenesisFile	Genesis-file hash command constructor.
cardano-cli-hash-command	crates/tools/cardano-cli/src/era_independent/hash/command.rs	render_hash_cmds	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Hash/Command.hs	renderHashCmds	Idiomatic Rust casing for upstream hash command renderer.
cardano-cli-hash-run	crates/tools/cardano-cli/src/era_independent/hash/run.rs	run_hash_cmds	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Hash/Run.hs	runHashCmds	Idiomatic Rust casing for upstream hash dispatcher.
cardano-cli-hash-run	crates/tools/cardano-cli/src/era_independent/hash/run.rs	run_hash_genesis_file	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Hash/Run.hs	runHashGenesisFile	Idiomatic Rust casing for upstream genesis-file hash runner.
cardano-cli-key-command	crates/tools/cardano-cli/src/era_independent/key/command.rs	KeyCmds	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Key/Command.hs	KeyCmds	Top-level key command enum/type name.
cardano-cli-key-command	crates/tools/cardano-cli/src/era_independent/key/command.rs	KeyVerificationKeyCmd	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Key/Command.hs	KeyVerificationKeyCmd	Verification-key command constructor.
cardano-cli-key-command	crates/tools/cardano-cli/src/era_independent/key/command.rs	KeyVerificationKeyCmdArgs	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Key/Command.hs	KeyVerificationKeyCmdArgs	Verification-key command argument record.
cardano-cli-key-command	crates/tools/cardano-cli/src/era_independent/key/command.rs	render_key_cmds	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Key/Command.hs	renderKeyCmds	Idiomatic Rust casing for upstream renderer.
cardano-cli-key-run	crates/tools/cardano-cli/src/era_independent/key/run.rs	run_key_cmds	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Key/Run.hs	runKeyCmds	Idiomatic Rust casing for upstream runner.
cardano-cli-key-run	crates/tools/cardano-cli/src/era_independent/key/run.rs	run_verification_key_cmd	.reference-haskell-cardano-node/deps/cardano-cli/cardano-cli/src/Cardano/CLI/EraIndependent/Key/Run.hs	runVerificationKeyCmd	Idiomatic Rust casing for upstream verification-key runner.
cardano-testnet-configuration	crates/tools/cardano-testnet/src/components/configuration.rs	DijkstraGenesisHash	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Components/Configuration.hs	DijkstraGenesisHash	Dijkstra genesis-hash config key.
cardano-testnet-configuration	crates/tools/cardano-testnet/src/components/configuration.rs	create_config_json	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Components/Configuration.hs	createConfigJson	Idiomatic Rust casing for upstream hash-bearing config builder.
cardano-testnet-configuration	crates/tools/cardano-testnet/src/components/configuration.rs	create_config_json_no_hash	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Components/Configuration.hs	createConfigJsonNoHash	Idiomatic Rust casing for upstream no-hash config builder.
cardano-testnet-configuration	crates/tools/cardano-testnet/src/components/configuration.rs	get_byron_genesis_hash	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Components/Configuration.hs	getByronGenesisHash	Idiomatic Rust casing for upstream Byron hash helper.
cardano-testnet-configuration	crates/tools/cardano-testnet/src/components/configuration.rs	get_shelley_genesis_hash	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Components/Configuration.hs	getShelleyGenesisHash	Idiomatic Rust casing for upstream Shelley-family hash helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	DijkstraGenesisFile	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	DijkstraGenesisFile	Dijkstra genesis-file config key.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	TestDijkstraHardForkAtEpoch	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	TestDijkstraHardForkAtEpoch	Dijkstra direct-hardfork config key.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_committee_key_pair	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultCommitteeKeyPair	Idiomatic Rust casing for upstream committee key-pair helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_committee_skey_fp	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultCommitteeSkeyFp	Idiomatic Rust casing for upstream committee signing-key path helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_committee_vkey_fp	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultCommitteeVkeyFp	Idiomatic Rust casing for upstream committee verification-key path helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_delegator_stake_key_pair	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultDelegatorStakeKeyPair	Idiomatic Rust casing for upstream delegator stake-key helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_drep_key_pair	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultDRepKeyPair	Idiomatic Rust casing for upstream DRep key-pair helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_drep_skey_fp	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultDRepSkeyFp	Idiomatic Rust casing for upstream DRep signing-key path helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_genesis_filepath	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultGenesisFilepath	Idiomatic Rust casing for upstream default path helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_mainnet_topology	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultMainnetTopology	Idiomatic Rust casing for upstream mainnet topology helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_p2p_topology	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultP2PTopology	Idiomatic Rust casing for upstream P2P topology helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_spo_cold_key_pair	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultSpoColdKeyPair	Idiomatic Rust casing for upstream SPO cold key-pair helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_spo_cold_skey_fp	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultSpoColdSKeyFp	Idiomatic Rust casing for upstream SPO cold signing-key path helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_spo_cold_vkey_fp	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultSpoColdVKeyFp	Idiomatic Rust casing for upstream SPO cold verification-key path helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_spo_keys	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultSpoKeys	Idiomatic Rust casing for upstream SPO key-bundle helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_spo_keys_dir	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultSpoKeysDir	Idiomatic Rust casing for upstream SPO keys directory helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_spo_name	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultSpoName	Idiomatic Rust casing for upstream SPO name helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_utxo_keys	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultUtxoKeys	Idiomatic Rust casing for upstream UTxO key-pair helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_yaml_config	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultYamlConfig	Idiomatic Rust casing for upstream default config helper.
cardano-testnet-defaults	crates/tools/cardano-testnet/src/defaults.rs	default_yaml_hardfork_via_config	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Defaults.hs	defaultYamlHardforkViaConfig	Idiomatic Rust casing for upstream hardfork config helper.
cardano-testnet-drep	crates/tools/cardano-testnet/src/process/cli/drep.rs	Certificate	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Process/Cli/DRep.hs	Certificate	DRep certificate file marker.
cardano-testnet-drep	crates/tools/cardano-testnet/src/process/cli/drep.rs	create_certificate_publication_tx_body_plan	.reference-haskell-cardano-node/cardano-testnet/src/Testnet/Process/Cli/DRep.hs	createCertificatePublicationTxBody	Idiomatic Rust casing for upstream certificate-publication txbody builder.
